participant,session,condition,totalAmountOfMovementP1,totalAmountOfMovementP2
5,20,integration,1.3109075057601174,1.374022213473053
5,21,integration,1.5385849865235597,0.9995131965252552
5,22,integration,1.4299857206846407,1.4528573073843742
5,23,integration,1.4578447763030136,1.3354700987776669
5,24,integration,1.4383007445133276,1.7855491014543974
5,25,integration,1.404354521544657,1.269948734080218
5,26,integration,1.5135303705856031,1.2445485076208422
5,27,integration,1.6390522826378535,1.03637658255672
5,28,integration,1.4329050211346424,1.3724990618563462
5,29,integration,1.6184131105766462,1.0255412649909248
5,30,integration,1.4078537624920409,1.400472967488425
5,31,integration,1.6684970390175424,0.9208082821332826
5,32,integration,1.4692549446718035,1.3728060647040676
5,1,compatibility,1.533988141260715,1.2522154015250893
5,2,compatibility,1.6450100491815678,0.8979204324062517
5,1,post,1.357959450263122,
5,2,post,1.2704903473184397,
5,3,post,1.381524624860808,
5,4,post,1.2209240706349471,
5,5,post,1.2911964792244457,
5,6,post,1.1499032668126046,
5,7,post,1.3833256924967865,
5,8,post,1.3043224250812069,
5,9,post,1.25386872779884,
5,10,post,1.285026000879478,
6,1,pre,1.3125534299703157,
6,2,pre,1.3645469489111397,
6,3,pre,1.1656082011295512,
6,4,pre,1.4668111085765778,
6,5,pre,1.1827894359604634,
6,6,pre,1.2623344437884465,
6,7,pre,1.317442432846327,
6,8,pre,1.3924445651691049,
6,9,pre,1.209953963119098,
6,10,pre,1.3388251184072324,
6,1,integration,1.5005790724082848,1.2059762068911426
6,2,integration,1.7729433997961,1.0003214403765428
6,3,integration,1.9121354092024407,0.9987111895550168
6,4,integration,1.2182656944985806,1.1133744789215607
6,5,integration,1.7940041279264434,1.3837856659148469
6,6,integration,1.6918466776573349,0.8846755517505644
6,7,integration,1.4623747368236315,1.1084391062985888
6,8,integration,1.3035483634991671,1.2263067718290237
6,9,integration,1.498773034461366,1.2455652381377509
6,10,integration,1.6449015107555502,0.8513524886541269
6,11,integration,1.4238792490192704,0.9856196928398148
6,12,integration,1.6093349389512024,0.8064771502773334
6,13,integration,1.358479671435743,1.264687355208911
6,14,integration,1.4226517380137036,1.0060434922445545
6,15,integration,1.44798701637395,1.027185703551798
6,16,integration,1.4882537159652245,1.1211879104921556
6,17,integration,1.349547645579515,1.239686487469718
6,18,integration,1.3955762541651129,1.1589836249834184
6,19,integration,1.521670344973963,1.133285471075994
6,20,integration,1.7193855020819115,0.9102718038289116
6,21,integration,1.6496048401041414,0.888556218292745
6,22,integration,1.7342723764398102,0.9225574354846576
6,23,integration,1.7451291495381336,1.0741904909818976
6,24,integration,1.7358683805399042,0.8373078389002333
6,25,integration,1.7866319352449451,0.7406067521077966
6,26,integration,1.6170034340772037,1.1545507081319517
6,27,integration,1.762932683046776,0.9545725749905636
6,28,integration,1.614199321670195,0.8596845394353765
6,29,integration,1.8149560066179,0.9784615967528388
6,30,integration,1.521618783778355,1.017522973756064
6,31,integration,1.8139891754323143,0.7831821867299444
6,32,integration,1.5036997566773482,0.967099522389597
6,1,compatibility,1.7933194716584873,0.8965108737589212
6,2,compatibility,1.8215931158611955,0.7384183368262093
6,1,post,1.272845382428402,
6,2,post,1.276525492178732,
6,3,post,1.2363606787983272,
6,4,post,1.6264707559729412,
6,5,post,1.47061732909218,
6,6,post,1.588833790796892,
6,7,post,1.39588927573251,
6,8,post,1.212197130748511,
6,9,post,1.3383356844699223,
6,10,post,1.34145462234554,
7,1,pre,1.1431862028780602,
7,2,pre,1.138641841031692,
7,3,pre,1.1688874043875312,
7,4,pre,1.1254159875089798,
7,5,pre,1.1243597281655284,
7,6,pre,1.1049077028967438,
7,7,pre,1.0870519801643137,
7,8,pre,0.9972096941235438,
7,9,pre,1.1416348752525287,
7,10,pre,1.115349006215769,
7,1,integration,1.2971593295776578,1.064516352721142
7,2,integration,1.194663795627109,1.2547724380567171
7,3,integration,1.486292779184029,0.9608541827234708
7,4,integration,1.347008605853117,1.0261811665707643
7,5,integration,1.3895372610887444,0.8466593722001536
7,6,integration,1.276081903219295,1.2442946229223546
7,7,integration,1.3298214891232352,1.1321895562823985
7,8,integration,1.2391160895637896,0.9665082414353906
7,9,integration,1.39469349036688,0.8894081326953394
7,10,integration,1.4489189929640531,0.7024491369334238
7,11,integration,1.548565628095531,1.044568580869967
7,12,integration,1.566013523267039,0.6912208880729596
7,13,integration,1.449983683721058,1.1283689738415177
7,14,integration,1.3742829619510033,0.9124734025612476
7,15,integration,1.5006263799244477,0.881855606176012
7,16,integration,1.2286638016168046,1.258835167771139
7,17,integration,1.4155900938426824,0.8668603777049635
7,18,integration,1.2726479100339183,1.1276866040927356
7,19,integration,1.1550347456148642,1.1149564138535322
7,20,integration,1.405779486400472,1.1286339442780915
